Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte
APELADO,427252,Norma Comercial,2009-06-23 21:07:39,Expediente 392,FERIA JUDICIAL,Media,Moderado,Laura,Corte Suprema,2025-10-22 9:22:19,En Proceso,3,211265.92,427073.13,Empresa,1487,LABORAL 5,Caso relacionado 392,DR. URQUIZA
TERMINADO,357681,Norma Civil,2024-09-21 20:08:14,Expediente 393,FERIA JUDICIAL,Alta,Moderado,Mariana,Primera Instancia,2026-05-20 4:53:39,Favorable,7,1637589.57,3252339.63,Persona Física,437,CIVIL 2,Caso relacionado 393,DR. PAREDES
FERIA JUDICIAL,194018,Norma Comercial,2023-10-20 9:40:54,Expediente 394,APELADO,Baja,Alto,Mariana,Segunda Instancia,2026-10-14 18:37:32,Desfavorable,7,2348099.4,2317132.12,Persona Física,1334,PAZ TERCERA,Caso relacionado 394,DRA. CINTIA FIAD
EN TRÁMITE,486601,Norma Comercial,2022-09-30 4:15:01,Expediente 395,FERIA JUDICIAL,Baja,Alto,Belén,Segunda Instancia,2025-12-02 5:18:11,En Proceso,2,748312.09,2475048.66,Empresa,1620,PAZ TERCERA,Caso relacionado 395,DR. URQUIZA
FERIA JUDICIAL,394054,Norma Laboral,2014-05-23 5:27:36,Expediente 396,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2025-06-22 14:23:04,En Proceso,8,4923425.84,3126941.04,Organismo Público,1778,PAZ TERCERA,Caso relacionado 396,DR. PAREDES
TERMINADO,751176,Norma Penal,2021-02-18 3:08:03,Expediente 397,EN TRÁMITE,Media,Alto,Mariana,Primera Instancia,2030-10-27 1:46:13,Conciliación,2,1053395.85,2814592.52,Persona Física,1305,CIVIL 2,Caso relacionado 397,DR. URQUIZA
EN TRÁMITE,329104,Norma Civil,2011-11-05 20:06:31,Expediente 398,EN TRÁMITE,Media,Alto,Belén,Segunda Instancia,2029-01-31 7:55:06,Conciliación,6,660462.12,3338660.72,Empresa,1347,PAZ TERCERA,Caso relacionado 398,DRA. CINTIA FIAD
TERMINADO,942186,Norma Comercial,2009-11-21 11:43:50,Expediente 399,EN TRÁMITE,Media,Bajo,Andres,Segunda Instancia,2029-02-17 14:24:42,Desfavorable,6,1025639.02,229574.55,Empresa,764,CIVIL 2,Caso relacionado 399,DR. PAREDES
TERMINADO,293510,Norma Civil,2003-12-26 7:44:22,Expediente 400,EN TRÁMITE,Alta,Alto,Agostina,Segunda Instancia,2028-07-01 0:56:27,Favorable,5,3847615.05,2991344.94,Organismo Público,702,LABORAL 5,Caso relacionado 400,DR. URQUIZA
APELADO,209847,Norma Laboral,2010-06-28 13:39:11,Expediente 401,APELADO,Media,Alto,Agostina,Corte Suprema,2027-05-20 20:55:20,Desfavorable,9,2133273.24,3404156.77,Persona Física,1975,LABORAL 5,Caso relacionado 401,DR. URQUIZA
EN TRÁMITE,544717,Norma Penal,2019-06-12 16:45:50,Expediente 402,EN TRÁMITE,Alta,Bajo,Andres,Segunda Instancia,2029-09-14 1:28:53,En Proceso,9,2831425.54,1148109.49,Empresa,942,LABORAL 5,Caso relacionado 402,DRA. CINTIA FIAD
APELADO,554162,Norma Comercial,2012-04-19 19:38:42,Expediente 403,APELADO,Alta,Alto,Agostina,Segunda Instancia,2025-10-03 1:58:11,Favorable,4,114835.69,2563586.86,Organismo Público,152,COMERCIAL 1,Caso relacionado 403,DRA. CINTIA FIAD
EN TRÁMITE,924899,Norma Penal,2015-11-03 14:31:21,Expediente 404,EN TRÁMITE,Baja,Moderado,Laura,Primera Instancia,2030-02-06 2:43:33,Favorable,2,181812.23,1260077.45,Empresa,1326,CIVIL 2,Caso relacionado 404,DR. PAREDES
TERMINADO,396037,Norma Laboral,2001-09-21 1:42:48,Expediente 405,TERMINADO,Media,Alto,Andres,Primera Instancia,2026-03-11 18:02:58,Favorable,6,2234669.49,3832094.41,Persona Física,1302,PAZ TERCERA,Caso relacionado 405,DR. URQUIZA
TERMINADO,176329,Norma Laboral,2007-07-12 12:12:21,Expediente 406,TERMINADO,Alta,Alto,Belén,Segunda Instancia,2030-03-31 11:53:43,Favorable,9,4085109.66,138527.17,Organismo Público,1675,PAZ TERCERA,Caso relacionado 406,DR. URQUIZA
FERIA JUDICIAL,131007,Norma Civil,2015-01-08 21:52:14,Expediente 407,TERMINADO,Media,Moderado,Andres,Segunda Instancia,2025-01-28 7:55:31,Desfavorable,2,4427342,2321272.41,Empresa,1712,PAZ TERCERA,Caso relacionado 407,DRA. CINTIA FIAD
EN TRÁMITE,794892,Norma Comercial,2009-04-28 10:08:20,Expediente 408,TERMINADO,Media,Moderado,Mariana,Primera Instancia,2028-07-15 11:16:57,Conciliación,6,442665.77,670181.67,Organismo Público,1032,PAZ TERCERA,Caso relacionado 408,DRA. CINTIA FIAD
APELADO,416397,Norma Civil,2004-07-07 20:26:10,Expediente 409,APELADO,Baja,Moderado,Belén,Corte Suprema,2028-03-17 8:27:05,Conciliación,3,2696431.88,2850319.72,Persona Física,807,COMERCIAL 1,Caso relacionado 409,DR. PAREDES
FERIA JUDICIAL,112323,Norma Laboral,2001-10-15 22:52:40,Expediente 410,APELADO,Media,Moderado,Mariana,Corte Suprema,2029-05-23 18:37:38,En Proceso,2,4567016.13,707681.68,Organismo Público,235,PAZ TERCERA,Caso relacionado 410,DR. URQUIZA
FERIA JUDICIAL,997767,Norma Penal,2007-05-05 16:33:56,Expediente 411,FERIA JUDICIAL,Baja,Alto,Belén,Corte Suprema,2030-07-31 16:15:21,Conciliación,3,1945984.04,945356.13,Persona Física,675,COMERCIAL 1,Caso relacionado 411,DR. URQUIZA
FERIA JUDICIAL,212356,Norma Civil,2021-07-18 10:49:24,Expediente 412,EN TRÁMITE,Alta,Moderado,Agostina,Corte Suprema,2028-02-21 12:06:02,Conciliación,2,4149533.5,1980011.39,Empresa,561,CIVIL 2,Caso relacionado 412,DR. PAREDES
APELADO,735232,Norma Civil,2020-11-04 18:19:25,Expediente 413,TERMINADO,Media,Moderado,Andres,Corte Suprema,2028-10-16 4:34:20,Conciliación,4,677141.32,3659765.63,Persona Física,1326,LABORAL 5,Caso relacionado 413,DR. PAREDES
FERIA JUDICIAL,304451,Norma Penal,2001-04-04 18:09:55,Expediente 414,APELADO,Alta,Bajo,Laura,Corte Suprema,2030-08-19 17:36:27,Conciliación,5,4677618.5,850798.92,Empresa,38,PAZ TERCERA,Caso relacionado 414,DRA. CINTIA FIAD
APELADO,378600,Norma Civil,2020-11-26 21:17:23,Expediente 415,EN TRÁMITE,Media,Moderado,Belén,Corte Suprema,2027-12-06 8:53:28,En Proceso,7,3759602.35,581238.88,Empresa,1160,LABORAL 5,Caso relacionado 415,DRA. CINTIA FIAD
FERIA JUDICIAL,655655,Norma Penal,2016-06-30 2:34:51,Expediente 416,EN TRÁMITE,Alta,Moderado,Belén,Corte Suprema,2028-03-15 18:57:23,Desfavorable,9,4707258.62,3037112.44,Persona Física,822,CIVIL 2,Caso relacionado 416,DR. PAREDES
APELADO,154624,Norma Comercial,2002-03-09 14:01:10,Expediente 417,APELADO,Media,Bajo,Mariana,Primera Instancia,2028-08-30 5:59:19,Favorable,7,3386320,2004975.03,Empresa,421,CIVIL 2,Caso relacionado 417,DR. PAREDES
TERMINADO,503322,Norma Penal,2007-10-24 4:07:36,Expediente 418,TERMINADO,Media,Bajo,Agostina,Corte Suprema,2027-09-18 2:07:43,Conciliación,7,1823385.62,3647581.52,Organismo Público,1243,PAZ TERCERA,Caso relacionado 418,DR. URQUIZA
TERMINADO,334565,Norma Comercial,2005-03-26 5:28:02,Expediente 419,FERIA JUDICIAL,Media,Alto,Mariana,Corte Suprema,2030-11-07 17:13:10,Desfavorable,3,4691524.05,590725.16,Empresa,348,CIVIL 2,Caso relacionado 419,DR. PAREDES
TERMINADO,168008,Norma Penal,2008-01-16 13:45:31,Expediente 420,EN TRÁMITE,Media,Bajo,Mariana,Corte Suprema,2030-03-03 15:35:14,Conciliación,8,1385078.21,2585481.93,Persona Física,1832,LABORAL 5,Caso relacionado 420,DR. PAREDES
TERMINADO,477539,Norma Laboral,2022-06-15 10:39:08,Expediente 421,FERIA JUDICIAL,Media,Alto,Agostina,Segunda Instancia,2028-02-22 16:40:43,Conciliación,6,1667540.89,935352.19,Organismo Público,1570,PAZ TERCERA,Caso relacionado 421,DR. URQUIZA
TERMINADO,216492,Norma Laboral,2020-04-04 5:51:10,Expediente 422,TERMINADO,Media,Bajo,Laura,Primera Instancia,2029-12-28 14:12:30,Favorable,7,3507034.01,631257.91,Organismo Público,1888,COMERCIAL 1,Caso relacionado 422,DR. PAREDES
FERIA JUDICIAL,172240,Norma Comercial,2001-05-26 8:41:53,Expediente 423,TERMINADO,Media,Bajo,Mariana,Primera Instancia,2025-07-28 11:29:58,Favorable,4,3828928.33,2735300.51,Empresa,1103,PAZ TERCERA,Caso relacionado 423,DRA. CINTIA FIAD
FERIA JUDICIAL,426459,Norma Comercial,2020-07-08 17:52:50,Expediente 424,FERIA JUDICIAL,Media,Alto,Mariana,Primera Instancia,2026-09-28 0:08:57,Favorable,7,4647723.38,2376770.06,Empresa,748,LABORAL 5,Caso relacionado 424,DRA. CINTIA FIAD
FERIA JUDICIAL,825947,Norma Laboral,2021-05-24 4:58:08,Expediente 425,TERMINADO,Media,Bajo,Belén,Corte Suprema,2026-01-12 4:22:50,Conciliación,2,1031964.02,3020535.7,Persona Física,1919,PAZ TERCERA,Caso relacionado 425,DR. URQUIZA
APELADO,372900,Norma Comercial,2016-11-27 8:15:01,Expediente 426,EN TRÁMITE,Alta,Alto,Agostina,Corte Suprema,2030-08-29 21:37:41,Conciliación,3,3992010.2,1241302.99,Organismo Público,273,PAZ TERCERA,Caso relacionado 426,DR. PAREDES
APELADO,561227,Norma Penal,2023-03-28 3:35:22,Expediente 427,FERIA JUDICIAL,Baja,Bajo,Andres,Segunda Instancia,2028-02-28 22:14:57,Conciliación,8,3695344.81,1794646.77,Persona Física,1185,LABORAL 5,Caso relacionado 427,DRA. CINTIA FIAD
APELADO,398522,Norma Penal,2000-01-10 8:46:18,Expediente 428,TERMINADO,Media,Moderado,Laura,Primera Instancia,2027-12-20 0:19:30,Favorable,2,328334.84,1624859.35,Empresa,1711,PAZ TERCERA,Caso relacionado 428,DRA. CINTIA FIAD
APELADO,235327,Norma Laboral,2008-03-23 12:29:10,Expediente 429,FERIA JUDICIAL,Baja,Bajo,Laura,Corte Suprema,2025-03-31 23:54:39,En Proceso,8,1942243.47,3936437.41,Organismo Público,1902,PAZ TERCERA,Caso relacionado 429,DRA. CINTIA FIAD
TERMINADO,749991,Norma Civil,2023-01-05 1:34:50,Expediente 430,EN TRÁMITE,Media,Alto,Agostina,Primera Instancia,2028-04-16 8:06:29,Desfavorable,2,1420999.63,1172534.58,Persona Física,308,LABORAL 5,Caso relacionado 430,DRA. CINTIA FIAD
TERMINADO,942981,Norma Penal,2015-02-08 7:35:54,Expediente 431,TERMINADO,Media,Bajo,Belén,Segunda Instancia,2025-04-25 22:14:05,En Proceso,2,1529407.22,1182794.87,Persona Física,1398,CIVIL 2,Caso relacionado 431,DR. PAREDES
TERMINADO,265575,Norma Comercial,2019-01-08 11:26:25,Expediente 432,EN TRÁMITE,Alta,Alto,Belén,Segunda Instancia,2029-11-30 7:08:35,Conciliación,9,4914904.93,1421420.09,Persona Física,976,LABORAL 5,Caso relacionado 432,DR. PAREDES
EN TRÁMITE,960226,Norma Civil,2017-08-16 14:58:53,Expediente 433,TERMINADO,Alta,Alto,Agostina,Segunda Instancia,2028-10-21 9:14:24,Conciliación,5,3217459.29,2260553.35,Persona Física,733,PAZ TERCERA,Caso relacionado 433,DR. PAREDES
FERIA JUDICIAL,599499,Norma Civil,2015-08-04 23:42:27,Expediente 434,APELADO,Baja,Moderado,Belén,Primera Instancia,2028-12-08 14:19:07,En Proceso,5,3591204.03,1013029.36,Persona Física,1033,COMERCIAL 1,Caso relacionado 434,DR. PAREDES
APELADO,593948,Norma Penal,2017-11-29 11:09:40,Expediente 435,TERMINADO,Alta,Moderado,Laura,Corte Suprema,2028-02-15 2:51:44,Conciliación,6,4883322.01,3661583.31,Organismo Público,1825,COMERCIAL 1,Caso relacionado 435,DRA. CINTIA FIAD
APELADO,407257,Norma Penal,2006-05-07 21:29:43,Expediente 436,FERIA JUDICIAL,Alta,Alto,Laura,Corte Suprema,2030-05-20 3:07:14,Desfavorable,3,1892236.89,1066413.83,Persona Física,444,LABORAL 5,Caso relacionado 436,DR. URQUIZA
TERMINADO,698357,Norma Civil,2017-07-15 2:30:21,Expediente 437,TERMINADO,Baja,Bajo,Andres,Segunda Instancia,2027-10-23 12:48:58,Conciliación,4,4011182.44,3583783.85,Organismo Público,1137,COMERCIAL 1,Caso relacionado 437,DR. URQUIZA
APELADO,329189,Norma Civil,2017-09-30 5:54:42,Expediente 438,EN TRÁMITE,Alta,Alto,Agostina,Corte Suprema,2026-06-16 7:39:31,Desfavorable,4,2178309.51,418382.88,Persona Física,1229,PAZ TERCERA,Caso relacionado 438,DRA. CINTIA FIAD
APELADO,498465,Norma Laboral,2022-02-24 21:35:14,Expediente 439,EN TRÁMITE,Media,Alto,Mariana,Segunda Instancia,2030-10-25 16:59:33,En Proceso,4,4348973.02,2627968,Empresa,405,PAZ TERCERA,Caso relacionado 439,DRA. CINTIA FIAD
FERIA JUDICIAL,351051,Norma Comercial,2007-02-15 13:09:18,Expediente 440,TERMINADO,Baja,Bajo,Mariana,Primera Instancia,2027-07-16 8:43:26,En Proceso,9,911481.13,3628407.15,Empresa,1722,LABORAL 5,Caso relacionado 440,DR. URQUIZA
TERMINADO,749829,Norma Laboral,2015-01-25 22:48:45,Expediente 441,FERIA JUDICIAL,Baja,Bajo,Andres,Segunda Instancia,2026-08-27 9:42:30,Conciliación,2,4738954.02,679154.01,Persona Física,853,PAZ TERCERA,Caso relacionado 441,DR. URQUIZA
FERIA JUDICIAL,813936,Norma Penal,2023-06-26 10:17:55,Expediente 442,APELADO,Media,Bajo,Andres,Primera Instancia,2027-03-05 15:36:42,Desfavorable,5,1101670.82,3873466.21,Empresa,1221,CIVIL 2,Caso relacionado 442,DRA. CINTIA FIAD
EN TRÁMITE,611778,Norma Laboral,2002-06-13 18:56:48,Expediente 443,FERIA JUDICIAL,Alta,Bajo,Belén,Segunda Instancia,2029-06-16 6:53:26,Conciliación,3,1637840.33,1814269.02,Organismo Público,778,PAZ TERCERA,Caso relacionado 443,DRA. CINTIA FIAD
EN TRÁMITE,880641,Norma Laboral,2005-09-20 1:23:36,Expediente 444,APELADO,Baja,Alto,Andres,Corte Suprema,2028-11-26 18:28:12,Favorable,2,3783399.25,3783131.86,Persona Física,1798,LABORAL 5,Caso relacionado 444,DR. PAREDES
EN TRÁMITE,371830,Norma Laboral,2023-05-02 12:42:15,Expediente 445,EN TRÁMITE,Baja,Alto,Andres,Corte Suprema,2025-05-02 2:25:28,Favorable,8,1974838.16,2708896.07,Organismo Público,1784,CIVIL 2,Caso relacionado 445,DR. PAREDES
TERMINADO,605629,Norma Laboral,2003-09-12 21:03:09,Expediente 446,FERIA JUDICIAL,Media,Moderado,Mariana,Segunda Instancia,2026-10-05 20:14:03,Favorable,5,3044974.77,1209839.55,Persona Física,115,CIVIL 2,Caso relacionado 446,DR. URQUIZA
APELADO,415507,Norma Comercial,2022-11-16 3:08:09,Expediente 447,APELADO,Media,Alto,Belén,Corte Suprema,2026-12-09 18:55:21,Favorable,5,2228421.77,757268.59,Empresa,1145,COMERCIAL 1,Caso relacionado 447,DRA. CINTIA FIAD
TERMINADO,459687,Norma Comercial,2004-02-02 3:56:06,Expediente 448,TERMINADO,Alta,Bajo,Andres,Corte Suprema,2027-10-14 10:28:53,Conciliación,7,3714425.99,1218421.51,Organismo Público,1677,PAZ TERCERA,Caso relacionado 448,DR. URQUIZA
TERMINADO,756021,Norma Civil,2017-05-06 18:29:41,Expediente 449,EN TRÁMITE,Baja,Moderado,Andres,Corte Suprema,2028-05-17 22:56:11,Favorable,7,1149372.95,376604.55,Empresa,65,LABORAL 5,Caso relacionado 449,DR. PAREDES
APELADO,275915,Norma Penal,2014-09-29 16:39:11,Expediente 450,TERMINADO,Alta,Bajo,Belén,Primera Instancia,2025-07-22 15:52:18,Desfavorable,9,301705.36,579752.53,Empresa,1300,COMERCIAL 1,Caso relacionado 450,DR. PAREDES
FERIA JUDICIAL,719961,Norma Laboral,2005-09-29 16:18:26,Expediente 451,EN TRÁMITE,Alta,Alto,Agostina,Corte Suprema,2029-12-12 10:20:36,En Proceso,3,1506647.69,423118.46,Persona Física,825,COMERCIAL 1,Caso relacionado 451,DR. URQUIZA
EN TRÁMITE,554179,Norma Civil,2021-11-17 22:16:18,Expediente 452,FERIA JUDICIAL,Media,Moderado,Belén,Primera Instancia,2029-01-17 2:08:36,En Proceso,8,2376800.24,1694659.46,Organismo Público,239,PAZ TERCERA,Caso relacionado 452,DR. PAREDES
FERIA JUDICIAL,142828,Norma Civil,2010-05-07 22:06:58,Expediente 453,FERIA JUDICIAL,Baja,Bajo,Mariana,Segunda Instancia,2027-11-07 15:22:21,Favorable,3,848420.06,3183335.61,Empresa,302,PAZ TERCERA,Caso relacionado 453,DRA. CINTIA FIAD
EN TRÁMITE,935036,Norma Civil,2000-07-15 22:43:53,Expediente 454,EN TRÁMITE,Baja,Moderado,Agostina,Corte Suprema,2025-06-12 17:01:11,Favorable,3,1780438.48,569827.3,Persona Física,1416,LABORAL 5,Caso relacionado 454,DR. URQUIZA
TERMINADO,372670,Norma Comercial,2007-06-22 10:19:52,Expediente 455,EN TRÁMITE,Baja,Moderado,Laura,Corte Suprema,2030-02-17 1:57:32,Favorable,9,2005915.26,525630.13,Persona Física,1546,COMERCIAL 1,Caso relacionado 455,DRA. CINTIA FIAD
EN TRÁMITE,955342,Norma Laboral,2012-03-05 3:01:47,Expediente 456,EN TRÁMITE,Media,Alto,Belén,Corte Suprema,2027-04-02 13:51:20,Conciliación,9,296385.3,2575498.65,Persona Física,969,LABORAL 5,Caso relacionado 456,DRA. CINTIA FIAD
TERMINADO,125592,Norma Laboral,2002-06-14 2:39:15,Expediente 457,FERIA JUDICIAL,Media,Bajo,Mariana,Segunda Instancia,2027-10-27 5:15:40,En Proceso,2,2920703.17,792746.01,Empresa,369,COMERCIAL 1,Caso relacionado 457,DR. PAREDES
FERIA JUDICIAL,391126,Norma Penal,2016-07-07 1:37:17,Expediente 458,APELADO,Media,Moderado,Agostina,Primera Instancia,2026-12-28 3:22:29,Favorable,6,4422873.71,394952.1,Persona Física,233,COMERCIAL 1,Caso relacionado 458,DRA. CINTIA FIAD
TERMINADO,886639,Norma Laboral,2008-01-21 2:13:28,Expediente 459,TERMINADO,Media,Moderado,Belén,Primera Instancia,2027-07-27 3:34:16,Desfavorable,9,767197.14,671560.07,Organismo Público,195,COMERCIAL 1,Caso relacionado 459,DR. URQUIZA
FERIA JUDICIAL,332041,Norma Laboral,2007-06-14 16:36:10,Expediente 460,TERMINADO,Media,Bajo,Andres,Corte Suprema,2028-12-14 23:02:11,Favorable,3,2993061.99,3695306.93,Organismo Público,907,PAZ TERCERA,Caso relacionado 460,DRA. CINTIA FIAD
APELADO,450877,Norma Civil,2017-06-14 18:01:31,Expediente 461,FERIA JUDICIAL,Baja,Moderado,Belén,Segunda Instancia,2025-06-05 1:44:35,En Proceso,7,3327048.63,3286777.65,Empresa,1036,COMERCIAL 1,Caso relacionado 461,DRA. CINTIA FIAD
APELADO,854296,Norma Penal,2010-10-21 17:31:34,Expediente 462,TERMINADO,Alta,Moderado,Laura,Segunda Instancia,2027-11-07 19:04:42,Favorable,6,2102480.06,1419487.93,Organismo Público,1930,COMERCIAL 1,Caso relacionado 462,DRA. CINTIA FIAD
APELADO,224982,Norma Laboral,2004-06-12 7:51:20,Expediente 463,EN TRÁMITE,Baja,Moderado,Belén,Segunda Instancia,2025-11-07 21:03:44,En Proceso,2,3508476.96,2625003.97,Persona Física,921,COMERCIAL 1,Caso relacionado 463,DRA. CINTIA FIAD
TERMINADO,356911,Norma Comercial,2004-04-15 22:15:23,Expediente 464,APELADO,Alta,Bajo,Agostina,Segunda Instancia,2027-04-10 8:23:09,Favorable,6,2059550.4,2151416.32,Empresa,689,CIVIL 2,Caso relacionado 464,DRA. CINTIA FIAD
APELADO,168619,Norma Laboral,2018-05-21 7:34:42,Expediente 465,TERMINADO,Media,Bajo,Agostina,Segunda Instancia,2030-01-28 4:26:50,Desfavorable,4,2528140.07,2710111.43,Persona Física,177,PAZ TERCERA,Caso relacionado 465,DR. PAREDES
EN TRÁMITE,784688,Norma Civil,2016-09-15 3:02:06,Expediente 466,APELADO,Alta,Bajo,Belén,Primera Instancia,2025-02-13 16:48:22,Favorable,8,46691.69,2732271.25,Empresa,217,CIVIL 2,Caso relacionado 466,DR. URQUIZA
FERIA JUDICIAL,408623,Norma Comercial,2015-04-28 9:38:21,Expediente 467,EN TRÁMITE,Baja,Bajo,Agostina,Primera Instancia,2030-06-13 3:34:04,Desfavorable,6,3461683.37,2516792.39,Empresa,1035,PAZ TERCERA,Caso relacionado 467,DR. PAREDES
FERIA JUDICIAL,601643,Norma Civil,2016-05-13 12:31:48,Expediente 468,TERMINADO,Baja,Alto,Andres,Primera Instancia,2025-09-30 12:56:17,Desfavorable,3,3310099.97,1068074.97,Persona Física,1470,LABORAL 5,Caso relacionado 468,DR. URQUIZA
EN TRÁMITE,251175,Norma Laboral,2005-07-16 3:10:52,Expediente 469,FERIA JUDICIAL,Alta,Moderado,Belén,Corte Suprema,2028-01-01 18:27:39,Favorable,2,201620.38,160830.65,Organismo Público,630,CIVIL 2,Caso relacionado 469,DR. URQUIZA
TERMINADO,270963,Norma Comercial,2009-04-20 5:54:43,Expediente 470,APELADO,Media,Bajo,Andres,Segunda Instancia,2027-05-07 13:34:34,Desfavorable,8,1847568.04,1824989.29,Organismo Público,164,LABORAL 5,Caso relacionado 470,DR. URQUIZA
TERMINADO,241826,Norma Penal,2013-02-19 18:06:31,Expediente 471,EN TRÁMITE,Media,Moderado,Andres,Corte Suprema,2029-05-01 20:54:06,Conciliación,3,4895368.89,3564440.67,Empresa,1575,COMERCIAL 1,Caso relacionado 471,DR. URQUIZA
FERIA JUDICIAL,855343,Norma Penal,2001-10-23 22:21:04,Expediente 472,APELADO,Baja,Moderado,Mariana,Segunda Instancia,2029-07-05 15:39:36,Favorable,8,2109475.45,2280141.55,Persona Física,53,LABORAL 5,Caso relacionado 472,DR. URQUIZA
APELADO,967869,Norma Comercial,2006-04-11 19:33:28,Expediente 473,TERMINADO,Alta,Alto,Belén,Primera Instancia,2025-05-22 3:18:49,Favorable,7,2514707.57,3330402.21,Persona Física,218,LABORAL 5,Caso relacionado 473,DRA. CINTIA FIAD
TERMINADO,198540,Norma Comercial,2001-09-08 14:35:43,Expediente 474,TERMINADO,Media,Bajo,Agostina,Corte Suprema,2025-06-12 12:33:28,Desfavorable,4,4550551.49,3966539.25,Empresa,1742,LABORAL 5,Caso relacionado 474,DR. PAREDES
TERMINADO,959414,Norma Civil,2009-02-21 1:51:28,Expediente 475,FERIA JUDICIAL,Media,Bajo,Andres,Primera Instancia,2028-12-23 22:28:44,Desfavorable,7,3589136.76,658646.74,Organismo Público,999,LABORAL 5,Caso relacionado 475,DR. PAREDES
EN TRÁMITE,727035,Norma Comercial,2004-08-08 14:54:43,Expediente 476,EN TRÁMITE,Baja,Moderado,Mariana,Segunda Instancia,2028-08-25 11:56:02,Favorable,3,2914529.95,2768651.67,Persona Física,824,PAZ TERCERA,Caso relacionado 476,DRA. CINTIA FIAD
EN TRÁMITE,286994,Norma Civil,2006-12-23 9:50:16,Expediente 477,EN TRÁMITE,Media,Bajo,Belén,Segunda Instancia,2026-12-09 0:29:20,Conciliación,3,3991045.36,2698802.83,Organismo Público,1384,CIVIL 2,Caso relacionado 477,DR. URQUIZA
APELADO,410375,Norma Laboral,2010-02-22 3:29:17,Expediente 478,FERIA JUDICIAL,Alta,Moderado,Belén,Segunda Instancia,2025-10-22 20:44:19,Desfavorable,3,4323187.67,3919922.01,Organismo Público,385,PAZ TERCERA,Caso relacionado 478,DR. PAREDES
TERMINADO,129301,Norma Civil,2013-05-21 9:03:06,Expediente 479,FERIA JUDICIAL,Baja,Moderado,Laura,Primera Instancia,2030-08-03 17:34:05,Desfavorable,5,2289871.48,3942474.93,Empresa,56,PAZ TERCERA,Caso relacionado 479,DRA. CINTIA FIAD
TERMINADO,322724,Norma Comercial,2010-02-07 12:48:52,Expediente 480,EN TRÁMITE,Baja,Alto,Laura,Segunda Instancia,2030-01-10 10:51:57,En Proceso,4,2380790.74,2748281.05,Empresa,118,PAZ TERCERA,Caso relacionado 480,DRA. CINTIA FIAD
EN TRÁMITE,614003,Norma Comercial,2006-06-06 4:53:54,Expediente 481,APELADO,Alta,Alto,Andres,Primera Instancia,2029-07-04 12:29:17,Conciliación,8,1936394.17,978241.09,Organismo Público,900,LABORAL 5,Caso relacionado 481,DR. PAREDES
TERMINADO,293783,Norma Laboral,2006-10-17 11:49:14,Expediente 482,APELADO,Baja,Alto,Laura,Corte Suprema,2030-12-20 3:55:46,Conciliación,9,4833863.64,3195230.57,Persona Física,1277,PAZ TERCERA,Caso relacionado 482,DR. PAREDES
FERIA JUDICIAL,796683,Norma Comercial,2013-06-12 18:53:28,Expediente 483,FERIA JUDICIAL,Media,Moderado,Andres,Segunda Instancia,2026-12-09 20:21:35,Favorable,3,3488859.61,432581.39,Persona Física,798,CIVIL 2,Caso relacionado 483,DR. URQUIZA
EN TRÁMITE,118752,Norma Comercial,2006-07-21 4:38:27,Expediente 484,APELADO,Media,Bajo,Agostina,Segunda Instancia,2030-10-01 4:37:49,Conciliación,3,425283.1,3123893.72,Empresa,780,PAZ TERCERA,Caso relacionado 484,DR. URQUIZA
APELADO,837565,Norma Penal,2008-10-10 21:04:58,Expediente 485,EN TRÁMITE,Alta,Alto,Andres,Segunda Instancia,2025-06-26 9:14:27,Favorable,8,4316168.52,3641233.52,Organismo Público,1016,COMERCIAL 1,Caso relacionado 485,DR. PAREDES
EN TRÁMITE,984884,Norma Penal,2020-10-22 10:49:39,Expediente 486,TERMINADO,Media,Bajo,Laura,Corte Suprema,2028-07-01 18:15:56,En Proceso,9,2407994.1,1534419.41,Persona Física,803,LABORAL 5,Caso relacionado 486,DR. URQUIZA
TERMINADO,768755,Norma Laboral,2017-04-26 2:35:07,Expediente 487,TERMINADO,Alta,Alto,Agostina,Segunda Instancia,2026-12-27 2:29:01,Conciliación,7,353081.99,2524388,Persona Física,845,COMERCIAL 1,Caso relacionado 487,DRA. CINTIA FIAD
APELADO,317029,Norma Civil,2013-12-01 13:32:55,Expediente 488,APELADO,Alta,Alto,Laura,Primera Instancia,2026-02-16 6:47:19,Desfavorable,7,2753089.1,1723420.21,Empresa,1204,CIVIL 2,Caso relacionado 488,DR. URQUIZA
EN TRÁMITE,156273,Norma Penal,2017-04-27 5:11:29,Expediente 489,FERIA JUDICIAL,Media,Moderado,Andres,Primera Instancia,2030-06-03 17:51:46,En Proceso,3,2091649.75,1753871.39,Organismo Público,1439,CIVIL 2,Caso relacionado 489,DR. URQUIZA
FERIA JUDICIAL,358503,Norma Civil,2022-11-02 14:47:04,Expediente 490,FERIA JUDICIAL,Alta,Alto,Mariana,Segunda Instancia,2025-01-10 6:32:05,Favorable,2,4389969.53,1244931.7,Persona Física,1894,CIVIL 2,Caso relacionado 490,DRA. CINTIA FIAD
